ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0568513119533528
Rank 2020,Rank 2021,2021 - 2020,Top 20 2020,Settlement Official Name,Settlement Name,Region,Rank 2021,Physical Environment Rank,Quality of Living Rank,Architectural Beauty Rank,Going Green Rank,Price Band,Rank in Price Band,,,,,Physical Environment,Region,Overall individual Rank,Price Band,,,Over £650k,Region,Overall individual Rank,,,,
1,1,0,y,Bath BUA,Bath,South West,1,43,596,1,58,Over £650k,1,y,,,1,Rye,South East,16,£350k-£650k,,1,Bath,South West,1,City,,,
15,2,-13,y,Lyme Regis BUA,Lyme Regis,South West,2,57,663,19,23,£350k-£650k,1,y,,,2,Brecon,Wales,66,less than £350k,,2,Fowey,South West,6,Coast,,,
129,3,-126,n,Salisbury BUA,Salisbury,South West,3,186,413,107,18,£350k-£650k,2,y,,,3,Hythe,South East,50,£350k-£650k,,3,Lewes,South East,21,Countyside,,,
68,4,-64,n,Caton BUA,Caton,North West,4,15,275,294,117,less than £350k,1,,,,4,Carnforth,North West,332,less than £350k,,4,Winchester,South East,24,City,,,
171,5,-166,n,Kidwelly BUA,Kidwelly,Wales,5,223,66,165,382,less than £350k,2,,,,5,Berkhamsted,East of England,212,Over £650k,,5,Arundel,South East,32,Coast,,,
23,6,-17,n,Fowey BUA,Fowey,South West,6,7,352,18,632,Over £650k,2,,,,6,Marlborough,South West,76,£350k-£650k,,6,Henley-on-Thames,South East,35,Water,,,
9,7,-2,y,Wilton (Wiltshire) BUA,Wilton (Wiltshire),South West,7,65,465,28,368,£350k-£650k,3,,,,7,Caton,North West,4,less than £350k,,7,Sevenoaks,South East,45,Town,,,
41,8,-33,n,Hadleigh BUA,Hadleigh,East of England,8,230,591,89,25,£350k-£650k,4,y,,,8,Bradford on Avon,South West,28,£350k-£650k,,8,Farnham,South East,61,Town,,,
144,9,-135,n,Folkestone BUASD,Folkestone,South East,9,144,293,163,195,£350k-£650k,5,,,,9,Aldeburgh,East of England,257,Over £650k,,9,West Malling,South East,68,Town 8 mins from SO,,,
17,10,-7,n,Newport (Isle of Wight) BUA,Newport (Isle of Wight),South East,10,246,591,69,35,less than £350k,3,y,,,10,Saltburn-by-the-Sea,North East,310,less than £350k,,10,Brighton and Hove,South East,78,Coast,,,
42,11,-31,n,Shaftesbury BUA,Shaftesbury,South West,11,446,749,43,3,£350k-£650k,6,y,,,,,,,,,,,,,,,,
330,12,-318,n,Wallingford BUASD,Wallingford,South East,12,110,857,156,12,£350k-£650k,7,y,,,,Quality of Living,Region,Overall individual Rank,Price Band,,,,,,,,,
362,13,-349,n,Colne BUASD,Colne,North West,13,147,233,304,150,less than £350k,4,,,,1,Trimdon,North East,870,less than £350k,,,£350k-£650k,Region,Overall individual Rank,,,,
20,14,-6,y,Malmesbury BUA,Malmesbury,South West,14,17,491,15,685,£350k-£650k,8,,,,2,Murton (County Durham),North East,376,less than £350k,,1,Lyme Regis,South West,2,,,,
29,15,-14,n,Sudbury BUA,Sudbury,East of England,15,323,301,112,160,£350k-£650k,9,,,,3,Higher Folds,North West,1228,less than £350k,,2,Salisbury,South West,3,,,,
6,16,10,y,Rye BUA,Rye,South East,16,1,264,12,1024,£350k-£650k,10,,,,4,Ferryhill,North East,750,less than £350k,,3,Wilton (Wiltshire),South West,7,,,,
2,17,15,y,Tenby BUA,Tenby,Wales,17,81,505,5,591,£350k-£650k,11,,,,5,Iwade,South East,871,£350k-£650k,,4,Hadleigh,East of England,8,,,,
28,18,-10,n,Weymouth BUASD,Weymouth,South West,18,47,377,122,501,£350k-£650k,12,,,,6,Hattersley,North West,430,less than £350k,,5,Folkestone,South East,9,,,,
