,,,,,,,,17.5,,,,,,,,
Rank 2021,Settlement Name,Local Authority District,Rank Physical Environment,Rank Quality of Living,Rank Going Green,Price band,Rank in price band,,,Physical Environment,Overall individual Rank,Price Band,,,Over £400k,Overall individual Rank
1,Saltcoats,North Ayrshire,12,10,20,£200-£300k,1,N,1,Gourock,69,£200-£300k,,1,Stirling,3
2,Balloch and Haldane,West Dunbartonshire,16,77,2,£200-£300k,2,Y,2,Helensburgh,49,£200-£300k,,2,Bannockburn,6
3,Stirling,Stirling,6,69,10,Over £400k,1,Y,3,Millport,107,£200-£300k,,3,Bonnyrigg,9
4,Kilsyth,North Lanarkshire,67,20,11,£200-£300k,3,Y,4,Melrose,87,£300-£400k,,4,Loanhead,10
5,Port Glasgow,Inverclyde,5,106,8,£200-£300k,4,Y,5,Port Glasgow,7,£200-£300k,,5,Prestonpans,14
6,Bannockburn,Stirling,57,6,76,Over £400k,2,N,6,Stirling,5,Over £400k,,6,Mayfield,20
7,Clydebank,West Dunbartonshire,19,74,16,£200-£300k,5,Y,7,Ardrossan,58,£200-£300k,,7,Glasgow,24
8,Greenock,Inverclyde,10,81,28,£200-£300k,6,N,8,Dumbarton,23,£200-£300k,,8,Musselburgh,30
9,Bonnyrigg,Midlothian,23,53,28,Over £400k,3,N,8,Renton,100,£200-£300k,,9,Kirkintilloch,31
10,Loanhead,Midlothian,69,64,1,Over £400k,4,,10,Greenock,11,£200-£300k,,10,Dalkeith,32
11,Stevenston,North Ayrshire,30,12,96,£200-£300k,7,,,,,,,,,
12,Tullibody,Clackmannanshire,27,31,77,£200-£300k,8,,,Quality of Living,Overall individual Rank,Price Band,,,,
13,"Ballingry, Lochore and Crosshill",Fife,126,1,146,£200-£300k,9,,1,"Ballingry, Lochore and Crosshill",18,£200-£300k,,,£300-£400k,Overall individual Rank
14,Prestonpans,East Lothian,46,32,50,Over £400k,5,,2,Danderhall,39,Over £400k,,1,Perth,15
15,Perth,Perth and Kinross,15,116,15,£300-£400k,1,,3,Shotts,13,£200-£300k,,2,Renfrew,23
16,Anstruther,Fife,80,56,5,£200-£300k,10,,4,Buckhaven,67,£200-£300k,,3,Linwood,28
17,Carronshore,Falkirk,25,8,147,£200-£300k,11,,5,Shieldhill,79,£200-£300k,,4,Paisley,33
18,Faifley,West Dunbartonshire,44,9,116,£200-£300k,12,,6,Bannockburn,4,Over £400k,,5,Polbeth,37
19,Dumbarton,West Dunbartonshire,8,124,22,£200-£300k,13,,7,Hurlford and Crookedholm,92,£200-£300k,,6,Johnstone,41
20,Mayfield,Midlothian,32,17,99,Over £400k,6,,8,Carronshore,22,£200-£300k,,7,Cambuslang,44
21,Kilwinning,North Ayrshire,33,40,66,£200-£300k,14,,8,Faifley,8,£200-£300k,,8,Blackburn (West Lothian),45
22,Bonhill,West Dunbartonshire,39,19,92,£200-£300k,15,,10,Saltcoats,1,£200-£300k,,9,Larkhall,46
23,Renfrew,Renfrewshire,13,111,32,£300-£400k,2,,,,,,,10,Law,48
24,Glasgow,City of Glasgow,18,116,17,Over £400k,7,,,,,,,,,
25,Shotts,North Lanarkshire,131,3,91,£200-£300k,16,,,Going Green,Overall individual Rank,Price Band,,,£200-£300k,Overall individual Rank
26,Fraserburgh,Aberdeenshire,109,33,26,£200-£300k,17,,1,Loanhead,6,Over £400k,,1,Saltcoats,1
27,Alloa,Clackmannanshire,31,68,40,£200-£300k,18,,2,Balloch and Haldane,3,£200-£300k,,2,Balloch and Haldane,2
28,Linwood,Renfrewshire,50,34,68,£300-£400k,3,,3,South Queensferry,45,Over £400k,,3,Kilsyth,4
29,Kilbirnie,North Ayrshire,94,14,75,£200-£300k,19,,4,Cambuslang,52,£300-£400k,,4,Port Glasgow,5
30,Musselburgh,East Lothian,28,97,23,Over £400k,8,,5,Anstruther,21,£200-£300k,,5,Clydebank,7
31,Kirkintilloch,East Dunbartonshire,25,119,19,Over £400k,9,,6,Johnstone,33,£300-£400k,,6,Greenock,8
32,Dalkeith,Midlothian,17,121,38,Over £400k,10,,7,Uddingston,141,£300-£400k,,7,Stevenston,11
33,Paisley,Renfrewshire,21,131,23,£300-£400k,4,,8,Port Glasgow,7,£200-£300k,,8,Tullibody,12
34,Edinburgh,City of Edinburgh,29,137,12,Over £400k,11,,8,Larbert,60,£200-£300k,,9,"Ballingry, Lochore and Crosshill",13
35,South Queensferry,City of Edinburgh,46,138,3,Over £400k,12,,10,Stirling,5,Over £400k,,10,Anstruther,16
36,Alexandria,West Dunbartonshire,35,94,34,£200-£300k,20,,,,,,,,,
37,Polbeth,West Lothian,86,45,57,£300-£400k,5,,,,,,,,,
38,Cockenzie,East Lothian,48,23,121,Over £400k,13,,,,,,,,,
39,Denny,Falkirk,90,39,72,£200-£300k,21,,,,,,,,,
40,Helensburgh,Argyll and Bute,2,159,38,£200-£300k,22,,,,,,,,,
41,Johnstone,Renfrewshire,53,129,6,£300-£400k,6,,,,,,,,,
42,Alva,Clackmannanshire,73,100,17,£200-£300k,23,,,,,,,,,
43,Gretna,Dumfries and Galloway,11,97,103,£200-£300k,24,,,,,,,,,
44,Cambuslang,South Lanarkshire,38,152,4,£300-£400k,7,,,,,,,,,
45,Blackburn (West Lothian),West Lothian,114,24,87,£300-£400k,8,,,,,,,,,
46,Larkhall,South Lanarkshire,64,51,83,£300-£400k,9,,,,,,,,,
47,Ayr,South Ayrshire,40,114,35,£200-£300k,25,,,,,,,,,
48,Law,South Lanarkshire,128,37,67,£300-£400k,10,,,,,,,,,
49,Danderhall,Midlothian,107,2,171,Over £400k,14,,,,,,,,,
50,Fauldhouse,West Lothian,108,15,115,£300-£400k,11,,,,,,,,,
51,Ardrossan,North Ayrshire,7,58,158,£200-£300k,26,,,,,,,,,
