UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
49,189,49,-140,Ashbourne,East Midlands,712,931,68,8,£350k-£650k,29
94,963,94,-869,Bolsover,East Midlands,1134,128,276,164,less than £350k,31
130,520,130,-390,Burgh le Marsh,East Midlands,810,423,219,248,less than £350k,45
145,168,145,-23,New Mills,East Midlands,116,541,367,640,£350k-£650k,83
167,544,166,-378,Alford,East Midlands,739,360,49,788,less than £350k,61
168,464,168,-296,Chesterfield,East Midlands,418,432,595,187,less than £350k,62
195,319,195,-124,Wirksworth,East Midlands,782,827,59,355,£350k-£650k,97
196,209,196,-13,Weedon Bec,East Midlands,577,505,306,437,£350k-£650k,98
215,384,215,-169,Lincoln,East Midlands,613,686,316,246,less than £350k,81
241,356,241,-115,Gainsborough,East Midlands,829,321,212,700,less than £350k,94
258,433,258,-175,Caistor,East Midlands,682,1195,60,233,less than £350k,102
313,726,312,-414,Chapel-en-le-Frith,East Midlands,662,981,620,20,£350k-£650k,152
346,112,346,234,Horncastle,East Midlands,177,1363,21,482,less than £350k,141
355,576,355,-221,Duffield,East Midlands,356,883,388,503,£350k-£650k,173
365,781,365,-416,Eastwood,East Midlands,1029,166,865,259,less than £350k,148
385,586,385,-201,Asfordby,East Midlands,792,112,271,1189,less than £350k,162
419,958,419,-539,Sandiacre,East Midlands,640,638,766,185,less than £350k,179
432,693,432,-261,Ilkeston,East Midlands,705,265,769,613,less than £350k,185
464,1027,464,-563,Gamesley,East Midlands,543,23,964,1220,less than £350k,198
469,837,469,-368,Langwith,East Midlands,1213,41,450,1033,less than £350k,199
476,552,476,-76,Melbourne (South Derbyshire,East Midlands,1278,841,34,461,£350k-£650k,220
481,405,481,76,Nottingham,East Midlands,966,966,496,94,less than £350k,204
495,349,495,146,Coningsby Airfield,East Midlands,534,1192,512,188,less than £350k,211
507,489,507,18,Northampton,East Midlands,1101,614,520,249,£350k-£650k,234
512,463,512,49,Market Rasen,East Midlands,819,1198,287,177,less than £350k,217
518,1220,518,-702,Brinsley,East Midlands,1203,90,971,392,less than £350k,221
542,689,542,-147,Higham Ferrers,East Midlands,1117,229,434,834,£350k-£650k,253
565,990,565,-425,Ripley,East Midlands,859,429,828,401,less than £350k,245
582,684,582,-102,Newark-on-Trent,East Midlands,1000,513,242,889,less than £350k,251
592,784,592,-192,Derby,East Midlands,970,894,503,275,less than £350k,255
599,1163,599,-564,Washingborough,East Midlands,805,201,827,809,less than £350k,259
608,676,608,-68,Wellingborough,East Midlands,1166,304,542,659,less than £350k,263
614,974,614,-360,Mansfield,East Midlands,1186,380,932,114,less than £350k,267
622,710,622,-88,Quorn (Quorndon),East Midlands,929,944,326,537,£350k-£650k,284
623,1091,623,-468,Melton Mowbray,East Midlands,974,332,712,645,less than £350k,271
626,423,626,203,Towcester,East Midlands,942,1072,421,273,£350k-£650k,286
676,957,676,-281,Loughborough,East Midlands,904,722,813,286,less than £350k,293
687,1115,687,-428,Branston,East Midlands,1217,527,771,200,less than £350k,296
688,873,688,-185,Grantham,East Midlands,952,574,430,824,less than £350k,297
694,645,694,49,Irthlingborough,East Midlands,1188,565,566,452,less than £350k,300
695,817,695,-122,Sleaford,East Midlands,954,389,400,1035,less than £350k,301
706,1227,706,-521,West Hallam,East Midlands,1210,122,989,608,£350k-£650k,321
716,549,716,167,Southwell,East Midlands,1316,903,116,608,£350k-£650k,323
721,877,720,-157,Raunds,East Midlands,1326,904,641,36,£350k-£650k,325
725,887,725,-162,Worksop,East Midlands,901,220,843,927,less than £350k,316
736,766,736,-30,Market Harborough,East Midlands,1355,1073,313,122,£350k-£650k,334
743,1073,742,-331,Kegworth,East Midlands,847,1137,443,449,£350k-£650k,336
744,819,744,-75,Earls Barton,East Midlands,1312,934,296,344,£350k-£650k,337
747,1070,747,-323,Pilsley,East Midlands,1054,387,728,683,less than £350k,322
753,639,753,114,Queniborough,East Midlands,1369,494,273,731,£350k-£650k,339
768,1162,766,-396,Carlton in Lindrick,East Midlands,1263,134,775,802,less than £350k,332
776,1089,776,-313,Borrowash,East Midlands,926,370,759,844,£350k-£650k,348
778,1207,777,-430,Hucknall,East Midlands,1247,289,1134,156,less than £350k,339
779,1099,779,-320,Rushden,East Midlands,1299,226,774,620,less than £350k,340
782,727,782,55,Leicester,East Midlands,1080,981,518,399,£350k-£650k,350
791,911,790,-121,Farndon (Newark and Sherwood),East Midlands,944,108,588,1284,less than £350k,343
809,1051,808,-243,Mountsorrel,East Midlands,880,957,742,376,£350k-£650k,363
810,739,810,71,Long Sutton (South Holland),East Midlands,1133,904,338,664,less than £350k,354
813,967,813,-154,Heanor,East Midlands,990,524,914,524,less than £350k,356
820,742,820,78,Skegness,East Midlands,595,351,1054,915,less than £350k,361
839,942,839,-103,Stapleford,East Midlands,769,288,967,978,less than £350k,372
855,1113,855,-258,Shirebrook,East Midlands,1202,76,1210,703,less than £350k,377
856,1057,856,-201,Kettering,East Midlands,1350,641,561,448,less than £350k,378
860,843,858,15,Ashby-de-la-Zouch,East Midlands,1265,1022,423,347,£350k-£650k,384
878,1056,878,-178,Burton Joyce,East Midlands,982,1000,458,709,£350k-£650k,394
895,1246,894,-352,Birstall,East Midlands,1059,193,1287,496,£350k-£650k,405
898,1193,898,-295,Sutton in Ashfield,East Midlands,1161,191,1185,603,less than £350k,393
921,1052,921,-131,Long Eaton,East Midlands,696,941,832,658,less than £350k,403
930,1111,930,-181,Beeston (Broxtowe),East Midlands,979,730,980,473,£350k-£650k,424
940,1137,940,-197,Hinckley,East Midlands,1107,837,1195,56,£350k-£650k,430
948,989,948,-41,Kirton (Boston),East Midlands,1270,618,579,714,less than £350k,413
954,755,954,199,Whitwell (Bolsover),East Midlands,1222,153,448,1304,less than £350k,416
979,1352,979,-373,Arnold,East Midlands,1284,225,1311,255,less than £350k,432
1000,599,1000,401,Swineshead,East Midlands,1274,379,347,1208,less than £350k,440
1003,1007,1003,-4,Earl Shilton,East Midlands,1321,219,1079,689,less than £350k,441
1013,677,1013,336,Willington (South Derbyshire),East Midlands,551,742,879,1093,£350k-£650k,462
