UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
8,41,8,-33,Hadleigh,East of England,230,591,89,25,£350k-£650k,4
15,29,15,-14,Sudbury,East of England,323,301,112,160,£350k-£650k,9
27,57,27,-30,Great Yarmouth,East of England,46,479,97,623,less than £350k,6
29,102,29,-73,Cromer,East of England,58,783,169,162,£350k-£650k,19
56,58,55,-3,Ipswich,East of England,150,452,370,237,£350k-£650k,34
91,97,91,-6,Norwich,East of England,97,950,270,201,£350k-£650k,52
113,32,113,81,Long Melford,East of England,278,171,176,1042,£350k-£650k,64
120,294,120,-174,Lowestoft,East of England,103,459,463,574,less than £350k,41
121,71,121,50,Loddon,East of England,67,664,154,840,£350k-£650k,69
146,387,146,-241,Wheathampstead,East of England,340,197,346,809,Over £650k,13
147,430,147,-283,Wickham Market,East of England,197,647,196,659,£350k-£650k,84
155,623,155,-468,North Walsham,East of England,827,564,395,39,£350k-£650k,86
158,204,158,-46,Shefford,East of England,259,557,601,208,£350k-£650k,88
172,321,172,-149,Bedford,East of England,758,488,437,83,£350k-£650k,89
183,408,183,-225,Bury St Edmunds,East of England,1103,929,185,10,£350k-£650k,92
197,52,197,145,King's Lynn,East of England,109,1108,351,282,less than £350k,78
205,172,205,33,Colchester,East of England,367,872,531,74,£350k-£650k,104
212,211,212,1,Berkhamsted,East of England,13,1242,379,346,Over £650k,22
213,421,213,-208,Aylsham,East of England,605,900,210,212,£350k-£650k,110
216,218,216,-2,Diss,East of England,674,446,154,685,£350k-£650k,112
219,777,219,-558,Acle,East of England,446,1005,393,59,£350k-£650k,113
227,231,227,-4,Fakenham,East of England,580,1091,193,133,£350k-£650k,115
257,10,257,247,Aldeburgh,East of England,22,1036,118,1082,Over £650k,26
270,504,270,-234,Clifton (Central Bedfordshire),East of England,716,240,731,356,£350k-£650k,134
280,507,280,-227,Tring,East of England,446,992,385,168,Over £650k,28
287,830,287,-543,Capel St Mary,East of England,714,297,573,466,£350k-£650k,140
297,636,297,-339,Brundall,East of England,101,757,855,331,£350k-£650k,143
301,58,301,243,Southwold,East of England,12,1068,33,1240,Over £650k,32
309,665,309,-356,Gorleston-on-Sea,East of England,212,342,1002,471,less than £350k,127
356,408,356,-52,Stowmarket,East of England,922,320,454,548,£350k-£650k,174
377,628,377,-251,Bassingbourn,East of England,1226,86,216,998,£350k-£650k,179
379,224,379,155,Wisbech,East of England,787,1006,322,165,less than £350k,158
382,316,381,65,Hertford,East of England,560,1319,202,111,Over £650k,41
408,518,407,-111,Dunstable,East of England,446,524,928,242,£350k-£650k,188
424,764,424,-340,Baldock,East of England,1019,644,465,233,£350k-£650k,196
426,597,426,-171,Hemel Hempstead,East of England,194,878,950,228,£350k-£650k,197
441,786,441,-345,Ely,East of England,1089,533,313,476,£350k-£650k,203
442,605,442,-163,Hemingford Grey,East of England,947,701,247,552,£350k-£650k,204
443,158,443,285,Manningtree,East of England,55,1128,457,795,£350k-£650k,205
449,101,449,348,Brightlingsea,East of England,644,629,259,833,£350k-£650k,208
454,437,454,17,Hitchin,East of England,442,1180,472,207,Over £650k,49
459,374,459,85,St Albans,East of England,607,1056,447,271,Over £650k,50
465,674,464,-210,Potton,East of England,1198,355,328,564,£350k-£650k,215
470,50,470,420,Rowhedge,East of England,246,762,374,952,£350k-£650k,216
474,154,474,320,Needham Market,East of England,584,979,130,830,£350k-£650k,219
483,651,483,-168,Peterborough,East of England,1121,527,718,82,less than £350k,205
486,498,486,-12,Felixstowe,East of England,64,749,867,746,£350k-£650k,224
492,495,492,-3,Brantham,East of England,163,524,840,803,£350k-£650k,227
501,236,500,264,Cambridge,East of England,1015,1256,241,52,Over £650k,56
