UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
1,1,1,0,Bath,South West,43,596,1,58,Over £650k,1
2,15,2,-13,Lyme Regis,South West,57,663,19,23,£350k-£650k,1
3,129,3,-126,Salisbury,South West,186,413,107,18,£350k-£650k,2
4,68,4,-64,Caton,North West,15,275,294,117,less than £350k,1
5,171,5,-166,Kidwelly,Wales,223,66,165,382,less than £350k,2
6,23,6,-17,Fowey,South West,7,352,18,632,Over £650k,2
7,9,7,-2,Wilton (Wiltshire),South West,65,465,28,368,£350k-£650k,3
8,41,8,-33,Hadleigh,East of England,230,591,89,25,£350k-£650k,4
9,144,9,-135,Folkestone,South East,144,293,163,195,£350k-£650k,5
10,17,10,-7,Newport (Isle of Wight),South East,246,591,69,35,less than £350k,3
11,42,11,-31,Shaftesbury,South West,446,749,43,3,£350k-£650k,6
12,330,12,-318,Wallingford,South East,110,857,156,12,£350k-£650k,7
13,362,13,-349,Colne,North West,147,233,304,150,less than £350k,4
14,20,14,-6,Malmesbury,South West,17,491,15,685,£350k-£650k,8
15,29,15,-14,Sudbury,East of England,323,301,112,160,£350k-£650k,9
16,6,16,10,Rye,South East,1,264,12,1024,£350k-£650k,10
17,2,17,15,Tenby,Wales,81,505,5,591,£350k-£650k,11
18,28,18,-10,Weymouth,South West,47,377,122,501,£350k-£650k,12
19,62,19,-43,Hawkhurst,South East,446,800,48,11,£350k-£650k,13
20,37,20,-17,Lancaster,North West,94,862,143,37,less than £350k,5
21,14,21,7,Lewes,South East,87,829,13,337,Over £650k,3
22,156,22,-134,Pershore,West Midlands,353,585,139,32,£350k-£650k,14
23,69,23,-46,Barnstaple,South West,286,646,76,88,£350k-£650k,15
24,86,24,-62,Winchester,South East,121,998,146,22,Over £650k,4
25,80,25,-55,Deal,South East,214,145,273,472,£350k-£650k,16
26,21,26,5,Frome,South West,215,297,126,460,£350k-£650k,17
27,57,27,-30,Great Yarmouth,East of England,46,479,97,623,less than £350k,6
28,3,28,25,Bradford on Avon,South West,18,511,51,772,£350k-£650k,18
29,102,29,-73,Cromer,East of England,58,783,169,162,£350k-£650k,19
30,213,30,-183,Much Wenlock,West Midlands,691,425,10,166,£350k-£650k,20
31,39,31,-8,Ilkley,Yorkshire and Humberside,52,795,177,170,£350k-£650k,21
32,22,32,10,Arundel,South East,5,384,3,1100,Over £650k,4
33,26,33,7,Hastings,South East,135,312,141,577,£350k-£650k,22
34,70,34,-36,Truro,South West,149,707,222,65,£350k-£650k,23
35,104,35,-69,Henley-on-Thames,South East,90,935,37,270,Over £650k,5
36,129,36,-93,Marple,North West,115,109,562,441,£350k-£650k,24
37,5,37,32,Canterbury,South East,166,953,94,69,£350k-£650k,25
38,121,38,-83,Plymouth,South West,162,662,252,75,less than £350k,7
39,110,39,-71,Malton,Yorkshire and Humberside,151,1350,22,2,£350k-£650k,26
40,103,40,-63,Carlisle,North West,300,236,194,450,less than £350k,8
41,91,41,-50,Sowerby Bridge,Yorkshire and Humberside,429,444,101,215,less than £350k,9
42,112,42,-70,Porthmadog,Wales,83,207,150,909,less than £350k,10
43,109,43,-66,Kington,West Midlands,362,527,26,389,less than £350k,11
44,382,44,-338,Sutton Courtenay,South East,537,294,118,354,£350k-£650k,27
45,67,45,-22,Sevenoaks,South East,165,699,203,120,Over £650k,6
46,84,46,-38,Barmouth,Wales,60,274,161,878,less than £350k,12
47,45,47,2,Cardigan,Wales,208,158,63,993,less than £350k,13
48,100,48,-52,Bovey Tracey,South West,51,797,186,302,£350k-£650k,28
49,189,49,-140,Ashbourne,East Midlands,712,931,68,8,£350k-£650k,29
50,218,50,-168,Hythe,South East,4,1253,282,17,£350k-£650k,30
51,132,51,-81,Ross-on-Wye,West Midlands,200,682,120,262,£350k-£650k,31
52,31,52,21,Dorchester (West Dorset),South West,72,1095,102,148,£350k-£650k,32
53,18,53,35,Bridport,South West,30,913,40,591,£350k-£650k,33
54,313,54,-259,Sunderland,North East,300,223,387,306,less than £350k,14
55,341,55,-286,Saltash,South West,118,304,482,359,less than £350k,15
56,58,55,-3,Ipswich,East of England,150,452,370,237,£350k-£650k,34
57,234,57,-177,Cheltenham,South West,446,594,100,140,£350k-£650k,35
58,54,58,4,Llandudno,Wales,73,231,217,881,less than £350k,16
